Ano	Jogo	Data	Time1	desc1	p1	p2	desc2	Time2	Pais	Estadio	Grupo	tr1	tr2	pe1	pe2	Competição	Fase	peso	p_acu	percent
23	203	26/12/2023 15:00		16a13			16a14		São Cristóvão	Basseterre						Copa do Mundo	8vas-de-final	6	505	85.88%
23	204	26/12/2023 19:00		16a15			16a16		St Vicente	Kingstown						Copa do Mundo	8vas-de-final	6	511	86.90%
23	205	29/12/2023 15:00		o1			o2		Trinidad e Tobago	Port of Spain						Copa do Mundo	4as-de-final	8	519	88.27%
23	206	29/12/2023 19:00		o3			o4		São Cristóvão	Basseterre						Copa do Mundo	4as-de-final	8	527	89.63%
23	207	30/12/2023 15:00		o5			o6		St Vicente	Arnos Vale						Copa do Mundo	4as-de-final	8	535	90.99%
23	208	30/12/2023 19:00		o7			o8		Trinidad e Tobago	Arima						Copa do Mundo	4as-de-final	8	543	92.35%
23	209	02/01/2024 19:00		q1			q2		Trinidad e Tobago	Port of Spain						Copa do Mundo	Semi-final	10	553	94.05%
23	210	03/01/2024 19:00		q3			q4		St Vicente	Arnos Vale						Copa do Mundo	Semi-final	10	563	95.75%
23	211	06/01/2024 19:00		ps1			ps2		Trinidad e Tobago	Couva						Copa do Mundo	D. 3º Lugar	10	573	97.45%
23	212	07/01/2024 19:00		s1			s2		Trinidad e Tobago	Port of Spain						Copa do Mundo	Final	15	588	100.00%
